"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"95","서울특별시 성북구 보문동6가","9*","다가구","","155.68","90.30","202312","19","75,000","-","-","1991","보문로13다길","-","중개거래","서울 강남구"
"96","서울특별시 강동구 암사동","4**","단독","12m미만","539.69","255.00","202312","18","99,900","-","-","1991","암사길","-","직거래","-"
"97","서울특별시 동작구 흑석동","2**","다가구","8m미만","253.09","154.00","202312","18","108,400","-","-","1994","흑석로7길","-","직거래","-"
"98","서울특별시 서대문구 창천동","4**","단독","8m미만","248.49","169.00","202312","18","152,000","-","-","1989","연희로4길","-","중개거래","서울 서대문구"
"99","서울특별시 은평구 불광동","3**","다가구","8m미만","71.18","33.57","202312","18","21,200","-","-","1991","통일로72길","-","중개거래","서울 은평구"
"100","서울특별시 노원구 상계동","3**","다가구","8m미만","127.57","79.00","202312","18","49,000","-","-","1990","상계로24길","-","중개거래","서울 노원구"
"101","서울특별시 구로구 궁동","1**","단독","","190.99","112.00","202312","18","55,000","-","-","2007","오리로22다길","-","중개거래","서울 구로구"
"102","서울특별시 양천구 신월동","6**","다가구","","494.11","181.40","202312","18","157,900","-","-","1995","남부순환로79길","-","중개거래","서울 양천구"
"103","서울특별시 강북구 미아동","1**","단독","","181.10","186.80","202312","18","128,000","-","-","1974","솔매로50길","-","중개거래","서울 동대문구"
"104","서울특별시 용산구 이태원동","1*","단독","8m미만","190.53","133.00","202312","18","280,000","-","-","1988","보광로50길","-","중개거래","서울 용산구"
"105","서울특별시 동대문구 장안동","1**","다가구","8m미만","226.02","116.00","202312","18","85,000","-","-","1989","답십리로65길","-","중개거래","서울 동대문구"
"106","서울특별시 중랑구 중화동","2**","다가구","12m미만","477.80","176.20","202312","18","155,700","-","-","1995","동일로138길","-","중개거래","서울 중랑구"
"107","서울특별시 동대문구 전농동","4**","다가구","8m미만","132.50","79.00","202312","18","115,000","-","-","1993","답십리로19길","-","중개거래","서울 동대문구"
"108","서울특별시 광진구 중곡동","6**","단독","8m미만","70.34","105.80","202312","17","69,300","-","-","1972","능동로37길","-","중개거래","서울 광진구"
"109","서울특별시 은평구 갈현동","*","단독","8m미만","219.63","65.33","202312","16","15,450","-","-","1968","갈현로47길","-","중개거래","경기 김포시"
"110","서울특별시 은평구 갈현동","*","단독","8m미만","219.63","65.33","202312","16","15,400","-","-","1968","갈현로47길","20231223","중개거래","경기 김포시"
"111","서울특별시 동작구 노량진동","3**","단독","8m미만","246.24","165.00","202312","16","170,000","-","-","1990","장승배기로18길","-","중개거래","서울 동작구"
"112","서울특별시 서대문구 북아현동","*","단독","8m미만","101.31","106.00","202312","16","84,500","-","-","1971","북아현로24길","-","중개거래","서울 서대문구"
"113","서울특별시 종로구 혜화동","1**","단독","","62.81","115.70","202312","16","125,000","-","-","1970","대학로14길","-","중개거래","서울 종로구"
"114","서울특별시 중구 신당동","3**","단독","","33.59","56.00","202312","16","80,000","-","-","1970","청구로3가길","-","중개거래","서울 중구"
"115","서울특별시 송파구 잠실동","1**","단독","8m미만","881.85","356.10","202312","16","750,000","-","-","1990","백제고분로7길","-","중개거래","서울 송파구"
"116","서울특별시 동작구 노량진동","2**","단독","8m미만","257.99","298.00","202312","16","217,000","-","-","1972","등용로4길","-","중개거래","서울 동작구"
"117","서울특별시 동작구 노량진동","2**","단독","8m미만","257.99","298.00","202312","16","217,000","-","-","1972","등용로4길","20240109","중개거래","-"
"118","서울특별시 동작구 노량진동","2**","단독","8m미만","46.28","298.00","202312","16","40,000","-","-","1963","등용로4길","20240109","중개거래","-"
"119","서울특별시 영등포구 당산동3가","4*","단독","8m미만","42.28","85.30","202312","15","77,500","-","-","1985","당산로24길","-","직거래","-"
"120","서울특별시 성동구 금호동3가","5**","단독","8m미만","118.53","65.80","202312","15","104,000","-","-","1988","무수막3길","-","중개거래","서울 성동구"
"121","서울특별시 종로구 평창동","5**","단독","8m미만","254.67","317.00","202312","15","102,000","-","-","1979","평창11길","-","중개거래","서울 강남구"
"122","서울특별시 중랑구 묵동","2**","다가구","8m미만","209.06","123.00","202312","15","78,000","-","-","1992","동일로157나길","20240227","중개거래","서울 중랑구"
"123","서울특별시 양천구 목동","2**","단독","8m미만","120.80","172.00","202312","15","110,000","-","-","1976","목동중앙본로22길","-","중개거래","서울 양천구"
"124","서울특별시 양천구 신정동","9**","다가구","8m미만","225.24","97.70","202312","15","100,000","-","-","1995","신정중앙로2길","-","직거래","-"
"125","서울특별시 서대문구 홍제동","2**","다가구","8m미만","149.94","106.00","202312","15","57,000","-","-","1994","세검정로3길","-","직거래","-"
"126","서울특별시 강북구 수유동","1**","단독","","65.42","100.20","202312","15","28,000","-","-","1969","한천로150길","-","중개거래","서울 강북구"
"127","서울특별시 강남구 역삼동","7**","단독","8m미만","741.74","261.80","202312","15","665,000","-","-","2003","","-","중개거래","서울 강남구"
"128","서울특별시 중랑구 묵동","2**","다가구","8m미만","209.06","123.00","202312","15","78,000","-","-","1992","동일로157나길","-","중개거래","서울 중랑구"
"129","서울특별시 강서구 화곡동","1**","단독","12m미만","236.07","159.60","202312","15","95,000","-","-","1990","강서로18아길","20240528","중개거래","서울 강서구"
"130","서울특별시 영등포구 신길동","1**","단독","","67.76","93.00","202312","15","34,000","-","-","1971","도신로","-","직거래","-"
"131","서울특별시 동작구 사당동","8*","단독","12m미만","247.32","192.00","202312","14","303,478","-","-","1989","동작대로33나길","-","직거래","-"
"132","서울특별시 강남구 삼성동","1**","다가구","8m미만","366.60","179.40","202312","14","420,000","-","-","1996","삼성로107길","-","중개거래","서울 강남구"
"133","서울특별시 마포구 서교동","4**","단독","12m미만","297.36","271.40","202312","14","460,000","-","-","1972","동교로19길","-","중개거래","서울 마포구"
"134","서울특별시 성북구 보문동2가","1**","단독","12m미만","186.90","106.10","202312","14","150,000","-","-","1988","보문로23길","20240731","직거래","-"
"135","서울특별시 성동구 송정동","6*","단독","8m미만","179.64","112.00","202312","14","114,000","-","-","1990","송정8길","-","중개거래","서울 성동구"
"136","서울특별시 서대문구 홍은동","3**","단독","8m미만","51.77","106.00","202312","13","25,000","-","-","1975","백련사길","-","직거래","-"
"137","서울특별시 영등포구 당산동3가","3**","단독","8m미만","152.28","77.40","202312","13","97,000","-","-","1989","당산로24길","-","중개거래","서울 광진구 서울 영등포구"
"138","서울특별시 강서구 화곡동","1***","다가구","8m미만","338.84","163.40","202312","13","200,000","-","-","2004","강서로33길","-","중개거래","서울 강서구"
"139","서울특별시 관악구 신림동","1***","다가구","25m미만","214.44","143.30","202312","13","128,942","-","-","1993","조원중앙로","-","직거래","-"
"140","서울특별시 구로구 구로동","4**","다가구","","148.14","99.00","202312","13","45,000","-","-","2006","가마산로9길","-","중개거래","서울 구로구"
"141","서울특별시 영등포구 당산동3가","3**","단독","8m미만","152.28","77.40","202312","13","97,000","-","-","1989","당산로24길","20231220","중개거래","서울 영등포구"
"142","서울특별시 관악구 신림동","2**","단독","8m미만","184.17","102.00","202312","12","71,000","-","-","1988","신림로11길","-","중개거래","서울 강남구"
"143","서울특별시 영등포구 당산동2가","1**","다가구","8m미만","145.24","66.40","202312","12","61,500","-","-","1994","선유동1로","-","중개거래","서울 영등포구"
"144","서울특별시 양천구 신월동","1**","다가구","8m미만","198.30","132.30","202312","12","50,000","-","-","1990","곰달래로11길","-","중개거래","서울 양천구"
"145","서울특별시 관악구 신림동","6**","단독","8m미만","215.19","145.00","202312","12","103,998","-","-","1989","난곡로34다길","-","직거래","-"
"146","서울특별시 관악구 신림동","7**","단독","8m미만","201.87","136.00","202312","12","88,538","-","-","1989","난곡로22길","-","직거래","-"
"147","서울특별시 금천구 시흥동","8**","단독","8m미만","207.50","122.90","202312","12","75,849","-","-","1991","독산로24라길","-","직거래","-"
"148","서울특별시 영등포구 신길동","1***","단독","","254.21","353.40","202312","12","357,000","-","-","1978","영등포로86길","20240215","중개거래","서울 동작구"
"149","서울특별시 동대문구 전농동","6*","단독","8m미만","164.65","102.00","202312","11","100,000","-","-","1989","전농로20다길","-","중개거래","서울 동대문구"
"150","서울특별시 중랑구 망우동","5**","다가구","8m미만","184.65","107.40","202312","11","91,937","-","-","1992","겸재로","-","직거래","-"
"151","서울특별시 양천구 목동","5**","단독","","130.57","155.30","202312","11","151,000","-","-","1977","목동중앙북로20길","-","중개거래","서울 양천구"
"152","서울특별시 중구 필동2가","1**","단독","","28.68","52.90","202312","11","24,500","-","-","1960","퇴계로36가길","-","중개거래","서울 중구"
"153","서울특별시 성북구 하월곡동","1*","다가구","8m미만","292.82","142.00","202312","11","99,000","-","-","1995","화랑로","-","중개거래","서울 성북구"
"154","서울특별시 성동구 성수동2가","2**","단독","8m미만","613.17","224.80","202312","11","675,000","-","-","1990","광나루로4가길","-","중개거래","서울 마포구, 서울 성동구"
"155","서울특별시 영등포구 신길동","4***","다가구","8m미만","199.50","158.00","202312","10","105,000","-","-","1991","신풍로22길","-","직거래","-"
"156","서울특별시 강남구 삼성동","1**","다가구","8m미만","355.60","180.30","202312","10","688,000","-","-","2021","봉은사로74길","-","중개거래","서울 서초구"
"157","서울특별시 광진구 능동","2**","단독","8m미만","249.60","641.30","202312","10","680,000","-","-","1977","능동로34길","-","중개거래","서울 강남구, 서울 광진구"
"158","서울특별시 송파구 잠실동","2**","단독","8m미만","164.13","102.60","202312","08","119,500","-","-","1986","백제고분로17길","-","중개거래","서울 송파구"
"159","서울특별시 영등포구 당산동1가","3**","단독","12m미만","211.68","93.60","202312","08","115,000","-","-","1991","당산로16길","-","중개거래","서울 광진구 서울 영등포구"
"160","서울특별시 강서구 공항동","1***","다가구","25m미만","469.60","167.70","202312","08","160,000","-","-","2002","방화대로6라길","-","중개거래","서울 강서구"
"161","서울특별시 동작구 사당동","1***","단독","8m미만","71.40","61.30","202312","08","75,311","-","-","1970","사당로24가길","-","직거래","-"
"162","서울특별시 동작구 사당동","1***","단독","8m미만","83.88","55.50","202312","08","69,688","-","-","1988","사당로24가길","-","직거래","-"
"163","서울특별시 은평구 응암동","1**","단독","8m미만","145.38","233.40","202312","08","245,000","-","-","1976","","-","중개거래","서울 은평구"
"164","서울특별시 동대문구 제기동","1**","단독","12m미만","732.69","411.00","202312","08","480,000","-","-","2000","무학로42길","-","중개거래","서울 동대문구"
"165","서울특별시 관악구 신림동","6**","단독","","141.39","132.00","202312","08","75,000","-","-","1985","난곡로26길","20240308","중개거래","서울 관악구"
"166","서울특별시 강남구 세곡동","4**","단독","25m미만","165.54","461.00","202312","07","520,000","-","-","1982","헌릉로571길","20240117","중개거래","서울 송파구"
"167","서울특별시 종로구 구기동","1*","단독","8m미만","227.51","334.00","202312","07","138,000","-","-","1974","평창길","-","중개거래","경기 부천시"
"168","서울특별시 서대문구 창천동","5*","단독","12m미만","714.24","234.00","202312","07","410,000","-","-","1990","연세로9길","-","직거래","-"
"169","서울특별시 동대문구 이문동","2**","다가구","8m미만","116.27","83.00","202312","07","40,000","-","-","1994","신이문로16길","-","직거래","-"
"170","서울특별시 동대문구 이문동","1**","단독","12m미만","110.94","152.00","202312","07","124,600","-","-","1970","외대역동로27길","-","직거래","-"
"171","서울특별시 동작구 신대방동","6**","단독","8m미만","240.55","163.00","202312","07","157,553","-","-","1988","신대방1길","-","직거래","-"
"172","서울특별시 동작구 대방동","1*","다가구","","269.56","132.00","202312","07","140,000","-","-","1991","등용로","-","중개거래","서울 동작구"
"173","서울특별시 성북구 석관동","2**","단독","","64.03","83.00","202312","07","33,500","-","-","1969","돌곶이로14길","-","중개거래","서울 성북구"
"174","서울특별시 강북구 미아동","1***","단독","8m미만","56.20","93.00","202312","06","65,000","-","-","1900","숭인로3길","-","중개거래","서울 강북구"
"175","서울특별시 동대문구 제기동","1***","단독","12m미만","105.85","145.10","202312","06","178,000","-","-","1963","약령시로14길","-","중개거래","서울 동대문구"
